State code,State,Foot Locker,Big 5 Sporting Goods,Nike Stores (Direct),Scheels,Hibbett Sports,Most Popular Store
1,Alabama,7,0,2,0,78,Hibbett Sports
2,Alaska,3,0,0,0,0,Foot Locker
4,Arizona,12,61,5,1,0,Big 5 Sporting Goods
5,Arkansas,1,0,1,0,28,Hibbett Sports
6,California,69,218,24,0,0,Big 5 Sporting Goods
8,Colorado,9,14,3,2,0,Big 5 Sporting Goods
9,Connecticut,7,0,2,0,0,Foot Locker
10,Delaware,3,0,1,0,0,Foot Locker
12,Florida,52,0,18,0,22,Foot Locker
13,Georgia,23,0,7,0,54,Hibbett Sports
15,Hawaii,4,0,2,0,0,Foot Locker
16,Idaho,2,11,0,1,0,Big 5 Sporting Goods
17,Illinois,32,0,8,1,3,Foot Locker
18,Indiana,9,0,2,0,12,Hibbett Sports
19,Iowa,2,0,0,2,4,Hibbett Sports
20,Kansas,2,0,1,1,8,Hibbett Sports
21,Kentucky,6,0,1,0,15,Hibbett Sports
22,Louisiana,13,0,2,0,32,Hibbett Sports
23,Maine,1,0,0,0,0,Foot Locker
24,Maryland,24,0,4,0,0,Foot Locker
25,Massachusetts,9,0,3,0,0,Foot Locker
26,Michigan,23,0,4,0,0,Foot Locker
27,Minnesota,3,0,1,2,0,Foot Locker
28,Mississippi,2,0,3,0,53,Hibbett Sports
29,Missouri,8,0,2,0,14,Hibbett Sports
30,Montana,1,0,0,1,0,Foot Locker
31,Nebraska,2,0,0,2,2,Foot Locker
32,Nevada,7,18,4,1,0,Big 5 Sporting Goods
33,New Hampshire,3,0,1,0,0,Foot Locker
34,New Jersey,29,0,6,0,0,Foot Locker
35,New Mexico,6,12,1,0,0,Big 5 Sporting Goods
36,New York,61,0,12,0,0,Foot Locker
37,North Carolina,19,0,5,0,24,Hibbett Sports
38,North Dakota,0,0,0,2,0,Scheels
39,Ohio,16,0,6,0,11,Foot Locker
40,Oklahoma,3,0,1,0,18,Hibbett Sports
41,Oregon,4,16,4,0,0,Big 5 Sporting Goods
42,Pennsylvania,25,0,6,0,0,Foot Locker
44,Rhode Island,2,0,1,0,0,Foot Locker
45,South Carolina,7,0,3,0,19,Hibbett Sports
46,South Dakota,1,0,0,1,2,Hibbett Sports
47,Tennessee,7,0,4,0,22,Hibbett Sports
48,Texas,57,42,15,3,68,Hibbett Sports
49,Utah,7,11,2,1,0,Big 5 Sporting Goods
50,Vermont,0,0,0,0,0,Foot Locker
51,Virginia,23,0,6,0,5,Foot Locker
53,Washington,5,34,5,0,0,Big 5 Sporting Goods
54,West Virginia,2,0,0,0,6,Hibbett Sports
55,Wisconsin,7,0,1,1,0,Foot Locker
56,Wyoming,0,4,0,0,2,Big 5 Sporting Goods
