State code,State,Stores,,,,,,
38,North Dakota,0,,,,,,
50,Vermont,0,,,,,Average no. stores,12.4
56,Wyoming,0,,,,,Median no. stores,7
5,Arkansas,1,,,,,,
23,Maine,1,,,,,,
30,Montana,1,,,,,,
46,South Dakota,1,,,,,,
16,Idaho,2,,,,,,
19,Iowa,2,,,,,,
20,Kansas,2,,,,,,
28,Mississippi,2,,,,,,
31,Nebraska,2,,,,,,
44,Rhode Island,2,,,,,,
54,West Virginia,2,,,,,,
2,Alaska,3,,,,,,
10,Delaware,3,,,,,,
27,Minnesota,3,,,,,,
33,New Hampshire,3,,,,,,
40,Oklahoma,3,,,,,,
15,Hawaii,4,,,,,,
41,Oregon,4,,,,,,
53,Washington,5,,,,,,
21,Kentucky,6,,,,,,
35,New Mexico,6,,,,,,
1,Alabama,7,,,,,,
9,Connecticut,7,,,,,,
32,Nevada,7,,,,,,
45,South Carolina,7,,,,,,
47,Tennessee,7,,,,,,
49,Utah,7,,,,,,
55,Wisconsin,7,,,,,,
29,Missouri,8,,,,,,
8,Colorado,9,,,,,,
18,Indiana,9,,,,,,
25,Massachusetts,9,,,,,,
4,Arizona,12,,,,,,
22,Louisiana,13,,,,,,
39,Ohio,16,,,,,,
37,North Carolina,19,,,,,,
13,Georgia,23,,,,,,
26,Michigan,23,,,,,,
51,Virginia,23,,,,,,
24,Maryland,24,,,,,,
42,Pennsylvania,25,,,,,,
34,New Jersey,29,,,,,,
17,Illinois,32,,,,,,
12,Florida,52,,,,,,
48,Texas,57,,,,,,
36,New York,61,,,,,,
6,California,69,,,,,,
