state_name,state_target_pop,target_pop_pct,state_median_income,median_income_retail,no_stores,action_logic
North Dakota,198533.0,25.295951664095025,76657.0,43069.0,0,2
Vermont,141411.0,21.852834002466366,81203.0,38436.0,0,4
Wyoming,126055.0,21.64417055719724,76176.0,35600.0,0,2
Arkansas,680650.0,22.320850294370253,60773.0,36863.0,1,2
Maine,277969.0,20.029225755268886,74733.0,38546.0,1,3
Montana,244598.0,21.900212646894236,72509.0,38707.0,1,3
South Dakota,198326.0,21.855838700150315,75081.0,39809.0,1,1
Idaho,441708.0,22.83599636450491,77800.0,38964.0,2,3
Iowa,721266.0,22.46579745815848,75059.0,40126.0,2,1
Kansas,679951.0,23.071107903543606,74275.0,40583.0,2,2
Mississippi,658299.0,22.339612166368774,56447.0,30192.0,2,2
Nebraska,448221.0,22.65221682644272,76475.0,40962.0,2,3
Rhode Island,262994.0,23.86946463109037,87796.0,44215.0,2,4
West Virginia,368756.0,20.735582467795002,59608.0,28890.0,2,2
Alaska,181632.0,24.688122701187705,92788.0,39017.0,3,5
Delaware,215384.0,21.09145106057535,84954.0,34592.0,3,4
Minnesota,1252378.0,21.820541881662773,89062.0,47352.0,3,3
New Hampshire,298087.0,21.37026586028212,99031.0,47229.0,3,3
Oklahoma,937732.0,23.276673929674427,65039.0,32547.0,3,3
Hawaii,308023.0,21.313004459482368,100389.0,36848.0,4,4
Oregon,957905.0,22.516197168366165,83011.0,42547.0,4,2
Washington,1848676.0,23.65210547028729,98141.0,45693.0,5,4
Kentucky,1006219.0,22.18871118261701,63726.0,34908.0,6,2
New Mexico,477084.0,22.501351258297387,64059.0,29380.0,6,2
Alabama,1137800.0,22.36783749524256,63999.0,32552.0,7,1
Connecticut,793230.0,21.88517724336655,95781.0,44131.0,7,2
Nevada,713691.0,22.410610774562176,78260.0,37258.0,7,1
South Carolina,1164226.0,21.982185424524072,69324.0,36248.0,7,1
Tennessee,1606482.0,22.734148432090365,69595.0,39500.0,7,2
Utah,897385.0,26.45334432282699,95166.0,41832.0,7,2
Wisconsin,1292992.0,21.860016581931106,77485.0,42306.0,7,1
Missouri,1381266.0,22.307937544635546,70702.0,38122.0,8,1
Colorado,1455425.0,24.82732985920447,95470.0,48398.0,9,2
Indiana,1560864.0,22.782767020582032,71957.0,37508.0,9,4
Massachusetts,1682019.0,23.878558035313745,103960.0,48962.0,9,4
Arizona,1714509.0,23.235487755660174,79964.0,42977.0,12,2
Louisiana,1032935.0,22.39687195967182,60756.0,32078.0,13,1
Ohio,2606355.0,22.068504142953945,71389.0,38520.0,16,3
North Carolina,2453636.0,22.86620336009716,72388.0,36976.0,19,4
Georgia,2544953.0,23.261959084337537,77353.0,38604.0,23,3
Michigan,2254724.0,22.37326326750555,72875.0,36860.0,23,3
Virginia,1980586.0,22.751835977930355,93170.0,36929.0,23,5
Maryland,1345120.0,21.674470122595658,103678.0,38525.0,24,3
Pennsylvania,2856738.0,21.943445854823995,77971.0,39388.0,25,2
New Jersey,1988417.0,21.28058268314346,103556.0,45824.0,29,3
Illinois,2880791.0,22.692688769053277,83390.0,42552.0,32,4
Florida,4651174.0,20.749277404784074,74568.0,38444.0,52,3
Texas,7292904.0,24.157948755456726,78476.0,37217.0,57,4
New York,4585698.0,23.098999887469333,85974.0,41399.0,61,4
California,9382865.0,23.88264556323014,99122.0,40484.0,69,3
